Study Order,Difficulty,Title,Frequency,Link,Topics,Study Topic,,Progress
139,MEDIUM,Best Time to Buy and Sell Stock II,34.6,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy",01 Arrays & Hashing,,
140,MEDIUM,Count Subarrays With Majority Element I,34.6,https://leetcode.com/problems/count-subarrays-with-majority-element-i,"Array, Hash Table, Divide and Conquer, Segment Tree, Merge Sort, Counting, Prefix Sum",01 Arrays & Hashing,,
141,MEDIUM,Create Binary Tree From Descriptions,34.6,https://leetcode.com/problems/create-binary-tree-from-descriptions,"Array, Hash Table, Tree, Binary Tree",01 Arrays & Hashing,,
142,MEDIUM,Design Circular Queue,34.6,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue",01 Arrays & Hashing,,
143,MEDIUM,Evaluate Reverse Polish Notation,34.6,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack",01 Arrays & Hashing,,
144,MEDIUM,Find Peak Element,34.6,https://leetcode.com/problems/find-peak-element,"Array, Binary Search",01 Arrays & Hashing,,
145,MEDIUM,First Unique Number,34.6,https://leetcode.com/problems/first-unique-number,"Array, Hash Table, Design, Queue, Data Stream",01 Arrays & Hashing,,
146,MEDIUM,Insert Delete GetRandom O(1),34.6,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized",01 Arrays & Hashing,,
147,MEDIUM,Longest Repeating Character Replacement,34.6,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window",01 Arrays & Hashing,,
148,MEDIUM,Magnetic Force Between Two Balls,34.6,https://leetcode.com/problems/magnetic-force-between-two-balls,"Array, Binary Search, Sorting",01 Arrays & Hashing,,
149,MEDIUM,Majority Element II,34.6,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting, Boyer–Moore Majority Vote Algorithm",01 Arrays & Hashing,,
150,MEDIUM,Minimum Number of Days to Make m Bouquets,34.6,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,"Array, Binary Search",01 Arrays & Hashing,,
151,MEDIUM,Next Greater Element II,34.6,https://leetcode.com/problems/next-greater-element-ii,"Array, Stack, Monotonic Stack",01 Arrays & Hashing,,
152,MEDIUM,Permutations II,34.6,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting",01 Arrays & Hashing,,
153,MEDIUM,Random Pick with Weight,34.6,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized",01 Arrays & Hashing,,
154,MEDIUM,Remove Duplicates from Sorted Array II,34.6,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers",01 Arrays & Hashing,,
155,MEDIUM,Search a 2D Matrix,34.6,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix",01 Arrays & Hashing,,
156,MEDIUM,Search in Rotated Sorted Array II,34.6,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search",01 Arrays & Hashing,,
157,MEDIUM,132 Pattern,28.9,https://leetcode.com/problems/132-pattern,"Array, Binary Search, Stack, Monotonic Stack, Ordered Set",01 Arrays & Hashing,,
158,MEDIUM,Coin Change II,28.9,https://leetcode.com/problems/coin-change-ii,"Array, Dynamic Programming, Knapsack Problem, Complete Knapsack",01 Arrays & Hashing,,
159,MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,28.9,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",01 Arrays & Hashing,,
160,MEDIUM,Contiguous Array,28.9,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum",01 Arrays & Hashing,,
161,MEDIUM,Count Primes,28.9,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory, Primality Test, Sieve Theory, Prime Number Sieve",01 Arrays & Hashing,,
162,MEDIUM,Earliest Finish Time for Land and Water Rides II,28.9,https://leetcode.com/problems/earliest-finish-time-for-land-and-water-rides-ii,"Array, Two Pointers, Binary Search, Greedy, Sorting",01 Arrays & Hashing,,
163,MEDIUM,Evaluate Division,28.9,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path, Bellman–Ford Algorithm, Floyd–Warshall Algorithm",01 Arrays & Hashing,,
164,MEDIUM,Find All Anagrams in a String,28.9,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window",01 Arrays & Hashing,,
165,MEDIUM,Find the Smallest Divisor Given a Threshold,28.9,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search",01 Arrays & Hashing,,
166,MEDIUM,Gas Station,28.9,https://leetcode.com/problems/gas-station,"Array, Greedy",01 Arrays & Hashing,,
167,MEDIUM,Integer to Roman,28.9,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String",01 Arrays & Hashing,,
168,MEDIUM,Jump Game II,28.9,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy",01 Arrays & Hashing,,
169,MEDIUM,K Closest Points to Origin,28.9,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect, K-D Tree",01 Arrays & Hashing,,
170,MEDIUM,Kth Largest Element in an Array,28.9,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",01 Arrays & Hashing,,
171,MEDIUM,Linked List Cycle II,28.9,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm",01 Arrays & Hashing,,
172,MEDIUM,Longest Arithmetic Sequence After Changing At Most One Element,28.9,https://leetcode.com/problems/longest-arithmetic-sequence-after-changing-at-most-one-element,"Array, Enumeration",01 Arrays & Hashing,,
173,MEDIUM,Longest Increasing Subsequence,28.9,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming, Longest Increasing Subsequence",01 Arrays & Hashing,,
174,MEDIUM,Longest Substring with At Least K Repeating Characters,28.9,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters,"Hash Table, String, Divide and Conquer, Sliding Window",01 Arrays & Hashing,,
